bookId,author,bookName,preferentialPrice,number,press,price
11709455,伍绮诗,无声告白,21.40, 60 ,江苏凤凰文艺出版社,35.00
11120361,刘同,谁的青春不迷茫,21.00, 61 ,中信出版社,35.00
11873563,李尚龙,你所谓的稳定，不过是在浪费生命,22.80, 62 ,湖南文艺出版社,38.00
11317440,任志强,野心优雅：任志强回忆录,39.90, 63 ,江苏文艺出版社,58.00
11244689,克利斯提昂·约里波瓦,不一样的卡梅拉手绘版·第一季（套装12册）,70.80, 64 ,二十一世纪出版社,120.00
11703043,毕翠克丝·波特,彼得兔绘本全集（套装共23册）,61.60, 65 ,北京时代华文书局,88.00
11791774,托尼·尼克尔森,超体能健身,24.00, 66 ,吉林科学技术出版社,42.00
10658646,加西亚·马尔克斯,百年孤独,26.90, 67 ,南海出版公司,39.50
11017970,凯利·麦格尼格尔,自控力,22.70, 68 ,印刷工业出版社（2015年更名为  文化发展出版社）,39.80
11382989,王意成,新手养花不败指南,41.10, 69 ,中国水利水电出版社,59.80
11827512,江南,龙族IV奥丁之渊（京东版随机附赠明信片）,19.20, 70 ,长江出版社,32.00
10993409,埃德文·拉斐尔,股票大作手回忆录（修订版）,29.30, 71 ,凤凰出版社,48.00
10424054,柯尼斯伯格,国际大奖小说（升级版）：天使雕像,11.00, 72 ,新蕾出版社,15.00
10037872,林海音,城南旧事/中小学生必读丛书-教育部推荐新课标同步课外阅读,13.20, 73 ,陕西师范大学出版社,22.00
11571255,尹建莉,好妈妈胜过好老师：一个教育专家16年的教子手记（纪念版）,20.40, 74 ,作家出版社,38.00
10999507,杨红樱,杨红樱画本·校园童话系列（套装共6册）,54.00, 75 ,湖北少年儿童出版社,108.00
11642570,神龙工作室,Word Excel PPT 2013办公应用从入门到精通（附光盘）,35.00, 76 ,人民邮电出版社,49.00
11311925,柳俊,明明白白心电图（第4版）,28.40, 77 ,广东科技出版社,35.00
11549140,尤瓦尔·赫拉利,人类简史 从动物到上帝,51.00, 78 ,中信出版社,68.00
11477628,大卫·香农,大卫，不可以,19.90, 79 ,河北教育出版社,33.80
11785384,约翰·威廉斯,斯通纳,28.30, 80 ,上海人民出版社,39.00
